,AMI,AMI_gt,ARI,ARI_gt,CorrelationScore,CorrelationScore_gt,InstabilityScore,InstabilityScore_gt,method
2.0,1.0,0.430009438484,1.0,0.634272129618,1.0,0.414285714286,0.0,0.524735615262,gmm-sph
3.0,1.0,0.52813769164,1.0,0.665935794678,1.0,0.734523809524,0.0,0.315663716814,gmm-sph
4.0,1.0,0.696548916482,1.0,0.825884024154,1.0,0.810714285714,0.0,0.207121651987,gmm-sph
5.0,0.813850181955,0.780506839405,0.835480894211,0.847270859073,0.79,0.882857142857,0.132434029044,0.127884768504,gmm-sph
6.0,1.0,0.940012001275,1.0,0.989600878208,1.0,0.935119047619,0.0,0.059748235178,gmm-sph
7.0,0.828601640432,0.828601640132,0.813427789334,0.813427789334,0.781632653061,0.781632653061,0.142079889477,0.142079889477,gmm-sph
8.0,0.921136556155,0.837072877959,0.917763342454,0.823826692242,0.987946428571,0.993367346939,0.0347114434881,0.0823818258784,gmm-sph
9.0,0.741482534267,0.674923580105,0.533875625023,0.541433022603,0.862698412698,0.95306122449,0.271152216299,0.252923495876,gmm-sph
10.0,0.660383498083,0.627512918222,0.396630085424,0.44238671349,0.756071428571,0.955612244898,0.40137156251,0.353621410292,gmm-sph
2.0,1.0,0.430009438484,1.0,0.634272129618,1.0,0.582142857143,0.0,0.524735615262,gmm-sph
3.0,1.0,0.528137691733,1.0,0.665935794678,1.0,0.830952380952,0.0,0.315663716814,gmm-sph
4.0,1.0,0.696548916482,1.0,0.825884024154,1.0,0.858928571429,0.0,0.207121651987,gmm-sph
5.0,0.813850181612,0.780506839405,0.835480894211,0.847270859073,0.825714285714,0.881428571429,0.132434029044,0.127884768504,gmm-sph
6.0,1.0,0.940012001299,1.0,0.989600878208,1.0,0.947619047619,0.0,0.059748235178,gmm-sph
7.0,0.859429741465,0.859429741465,0.869547975494,0.869547975494,0.847448979592,0.847448979592,0.115174395456,0.115174395456,gmm-sph
8.0,0.904679981596,0.866680748888,0.917014974361,0.879946796134,0.975,0.992346938776,0.0374883589671,0.0560011288274,gmm-sph
9.0,0.718529915371,0.771591024969,0.572265554943,0.769564937517,0.840079365079,0.992857142857,0.231960467389,0.107549450499,gmm-sph
10.0,0.695028279884,0.736990613435,0.546185721362,0.735552969759,0.779642857143,0.992346938776,0.245507858101,0.122979165618,gmm-sph
2.0,1.0,0.430009438484,1.0,0.634272129618,1.0,0.446428571429,0.0,0.524735615262,gmm-sph
3.0,1.0,0.52813769164,1.0,0.665935794678,1.0,0.75,0.0,0.315663716814,gmm-sph
4.0,1.0,0.696548916482,1.0,0.825884024154,1.0,0.850892857143,0.0,0.207121651987,gmm-sph
5.0,0.996655702544,0.852931193557,0.998818667424,0.966878926529,1.0,0.914285714286,0.000505473393298,0.129401188684,gmm-sph
6.0,0.996949976277,0.93714222363,0.99881848272,0.9884194577,1.0,0.958333333333,0.000485758009577,0.0602339931875,gmm-sph
7.0,0.821867844662,0.997127171557,0.805287204028,0.99881800097,0.853571428571,1.0,0.146328125375,0.000472026210886,gmm-sph
8.0,0.700542010515,0.83134473143,0.518048935886,0.816631515366,0.768303571429,0.994387755102,0.414686044871,0.0865471990969,gmm-sph
9.0,0.701400521209,0.67216514577,0.443865659315,0.544915058706,0.821031746032,0.941326530612,0.379613102819,0.246087725717,gmm-sph
10.0,0.648740016743,0.636373110203,0.375072732397,0.475433495751,0.692142857143,0.937244897959,0.41668764907,0.300015107331,gmm-sph
2.0,1.0,0.430009438484,1.0,0.634272129618,1.0,0.451785714286,0.0,0.524735615262,gmm-sph
3.0,1.0,0.528137691733,1.0,0.665935794678,1.0,0.67380952381,0.0,0.315663716814,gmm-sph
4.0,1.0,0.696548917081,1.0,0.825884024154,1.0,0.769642857143,0.0,0.207121651987,gmm-sph
5.0,0.81721053109,0.846211337711,0.83947269752,0.96334631106,0.757857142857,0.857857142857,0.130412135471,0.130917608864,gmm-sph
6.0,0.989800629656,0.930415362517,0.995281830574,0.984883248928,0.99880952381,0.944047619048,0.00194303203831,0.0616912672163,gmm-sph
7.0,0.801017297843,0.990393173703,0.775559396836,0.995280056904,0.848469387755,0.998979591837,0.162377016545,0.00188810484355,gmm-sph
8.0,0.910888539249,0.797762829438,0.924646363339,0.77892153742,0.958482142857,0.985204081633,0.0388768167066,0.113390715394,gmm-sph
9.0,0.69694095748,0.616283561175,0.509367085524,0.413589987031,0.809523809524,0.962755102041,0.346345688046,0.400576131306,gmm-sph
10.0,0.661910071501,0.593275094179,0.400595401638,0.382265611772,0.7575,0.934693877551,0.373442228194,0.454977865472,gmm-sph
2.0,1.0,0.430009438484,1.0,0.634272129618,1.0,0.380357142857,0.0,0.524735615262,gmm-sph
3.0,1.0,0.52813769164,1.0,0.665935794678,1.0,0.697619047619,0.0,0.315663716814,gmm-sph
4.0,1.0,0.696548917081,1.0,0.825884024154,1.0,0.74375,0.0,0.207121651987,gmm-sph
5.0,0.813850181483,0.780506839752,0.835480894211,0.847270859073,0.725,0.807857142857,0.132434029044,0.127884768504,gmm-sph
6.0,1.0,0.940012001346,1.0,0.989600878208,1.0,0.905952380952,0.0,0.059748235178,gmm-sph
7.0,0.872695322658,0.872695322611,0.878026145844,0.878026145844,0.811224489796,0.811224489796,0.109038054715,0.109038054715,gmm-sph
8.0,0.93074292036,0.880017464383,0.941084894839,0.889392231583,0.971875,0.99693877551,0.0249922393114,0.0495216593763,gmm-sph
9.0,0.724167296669,0.783207297485,0.560285568965,0.779278516135,0.819047619048,0.994387755102,0.272063652321,0.10071368034,gmm-sph
10.0,0.626852117685,0.765351581803,0.388473525782,0.769636918555,0.713571428571,0.995408163265,0.426147584887,0.10360882085,gmm-sph
2.0,1.0,0.430009438484,1.0,0.634272129618,1.0,0.576785714286,0.0,0.524735615262,gmm-sph
3.0,1.0,0.52813769164,1.0,0.665935794678,1.0,0.795238095238,0.0,0.315663716814,gmm-sph
4.0,1.0,0.696548915883,1.0,0.825884024154,1.0,0.83125,0.0,0.207121651987,gmm-sph
